Time,RPM,MPH,Throttle,Load,Gear
10:22:38.36906,654,0.0,15.2941176471,18.8235294118,0
10:22:38.100232,654,0.0,15.2941176471,18.8235294118,0
10:22:38.152397,668,0.0,15.2941176471,18.8235294118,0
10:22:38.209741,668,0.0,15.2941176471,19.2156862745,0
10:22:38.271895,655,0.0,15.2941176471,19.2156862745,0
10:22:38.332323,652,0.0,15.2941176471,19.2156862745,0
10:22:38.392024,652,0.0,15.2941176471,18.8235294118,0
10:22:38.444086,660,0.0,15.2941176471,18.8235294118,0
10:22:38.501945,662,0.0,15.2941176471,18.431372549,0
10:22:38.570092,662,0.0,15.2941176471,18.431372549,0
10:22:38.631339,662,0.0,15.2941176471,18.431372549,0
10:22:38.693769,655,0.0,15.2941176471,18.431372549,0
10:22:38.752145,652,0.0,15.2941176471,18.8235294118,0
10:22:38.819838,652,0.0,15.2941176471,18.8235294118,0
10:22:38.881547,652,0.0,15.2941176471,18.431372549,0
10:22:38.943623,656,0.0,15.2941176471,18.431372549,0
10:22:39.1889,657,0.0,15.2941176471,18.431372549,0
10:22:39.69823,657,0.0,15.2941176471,18.8235294118,0
10:22:39.131612,657,0.0,15.2941176471,18.8235294118,0
10:22:39.194082,648,0.0,15.2941176471,18.8235294118,0
10:22:39.251903,651,0.0,15.2941176471,18.8235294118,0
10:22:39.319982,651,0.0,15.2941176471,18.8235294118,0
10:22:39.381494,651,0.0,15.2941176471,18.431372549,0
10:22:39.443851,654,0.0,15.2941176471,18.8235294118,0
10:22:39.502378,651,0.0,15.2941176471,18.8235294118,0
10:22:39.569727,651,0.0,15.2941176471,18.8235294118,0
10:22:39.624028,650,0.0,15.2941176471,18.8235294118,0
10:22:39.682167,653,0.0,15.2941176471,18.431372549,0
10:22:39.749802,650,0.0,15.2941176471,18.431372549,0
10:22:39.811170,663,0.0,15.2941176471,18.431372549,0
10:22:39.873617,652,0.0,15.2941176471,18.431372549,0
10:22:39.932256,659,0.0,15.2941176471,18.0392156863,0
10:22:39.999751,652,0.0,15.2941176471,18.0392156863,0
10:22:40.61173,664,0.0,15.2941176471,18.0392156863,0
10:22:40.123642,664,0.0,15.2941176471,18.431372549,0
10:22:40.181581,664,0.0,15.2941176471,18.8235294118,0
10:22:40.240937,664,0.0,15.2941176471,18.8235294118,0
10:22:40.291830,650,0.0,15.2941176471,18.431372549,0
